CobaltStrike,185.143.223.75,443,R3,Cobalt Strike Beacon,Partner LLC,asasyz.com;4SER-1666773678.4server.su
CobaltStrike,171.22.30.82,2222,,Cobalt Strike Beacon,Des Capital B.V.,
CobaltStrike,104.194.248.76,443,install.org,Cobalt Strike Beacon,MULTACOM CORPORATION,
CobaltStrike,209.141.55.224,443,,Cobalt Strike Beacon,FranTech Solutions,bbcinternationalnews.com
CobaltStrike,107.175.221.59,443,,Cobalt Strike Beacon,ColoCrossing,microupdate.tk;107-175-221-59-host.colocrossing.com
CobaltStrike,128.199.67.176,80,,Cobalt Strike Beacon,DigitalOcean, LLC,
CobaltStrike,5.182.211.71,80,,Cobalt Strike Beacon,SKB Enterprise B.V.,5-182-211-71.hosted-by.phanes.cloud
CobaltStrike,68.233.238.123,80,,Cobalt Strike Beacon,HIVELOCITY, Inc.,68-233-238-123.static.hvvc.us
CobaltStrike,163.172.97.117,80,,Cobalt Strike Beacon,Scaleway Dedibox - Paris, France,163-172-97-117.rev.poneytelecom.eu
CobaltStrike,120.46.207.85,80,,Cobalt Strike Beacon,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),ecs-120-46-207-85.compute.hwclouds-dns.com
CobaltStrike,8.140.135.23,80,,Cobalt Strike Beacon,Aliyun Computing Co.LTD,
CobaltStrike,120.48.9.221,9999,,Cobalt Strike Beacon,Beijing Baidu Netcom Science and Technology Co., Ltd.,
CobaltStrike,93.115.29.65,443,,Cobalt Strike Beacon,UAB Cherry Servers,
CobaltStrike,198.44.132.52,443,R3,Cobalt Strike Beacon,tzulo, inc.,static-198-44-132-52.cust.tzulo.com;elvnetworks.com
CobaltStrike,8.210.123.189,4443,,Cobalt Strike Beacon,Alibaba.com Singapore E-Commerce Private Limited,
CobaltStrike,39.101.136.68,8009,,Cobalt Strike Beacon,Aliyun Computing Co., LTD,
CobaltStrike,119.23.179.218,443,,Cobalt Strike Beacon,Aliyun Computing Co., LTD,
CobaltStrike,43.135.42.59,443,,Cobalt Strike Beacon,Asia Pacific Network Information Center, Pty. Ltd.,
CobaltStrike,43.143.116.83,80,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,114.116.108.128,8090,,Cobalt Strike Beacon,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),ecs-114-116-108-128.compute.hwclouds-dns.com
CobaltStrike,218.29.106.204,8000,,Cobalt Strike Beacon,GongAnJu Corp,,hn.kd.ny.adsl
CobaltStrike,124.223.206.101,443,,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,20.214.205.89,443,,Cobalt Strike Beacon,Microsoft Corporation,find3321.com
CobaltStrike,124.220.178.26,443,www.qianxin.com,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,82.157.182.245,443,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,107.189.14.155,80,,Cobalt Strike Beacon,FranTech Solutions,
CobaltStrike,51.140.141.107,82,,Cobalt Strike Beacon,Microsoft Limited UK,
CobaltStrike,174.139.150.20,8008,,Cobalt Strike Beacon,Krypt Technologies,customer.krypt.com
CobaltStrike,23.227.198.246,443,R3,Cobalt Strike Beacon,HIVELOCITY, Inc.,23-227-198-246.static.hvvc.us;firmwarekey.com
CobaltStrike,109.248.18.177,443,R3,Cobalt Strike Beacon,NetArt LIR, k.s.,www.pldtserver.org
CobaltStrike,101.43.186.153,4433,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,82.157.173.159,7777,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,192.210.196.73,9999,,Cobalt Strike Beacon,RackNerd LLC,192-210-196-73-host.colocrossing.com
CobaltStrike,150.158.18.5,7443,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,205.185.114.97,443,,Cobalt Strike Beacon,FranTech Solutions,winserver.root.local;r1z.rocks;z3a.r1z.rocks
CobaltStrike,18.195.169.91,443,gmail.com,Cobalt Strike Beacon,A100 ROW GmbH,ec2-18-195-169-91.eu-central-1.compute.amazonaws.com
CobaltStrike,101.42.229.118,80,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
